
Еженедельные средние потребительские цены (тарифы) на отдельные товары и услуги, рубль, Российская Федерация, Яблоки, кг
;2011;2012;2013;2014;2015;2016;2017;2018;2019;
4 неделя (на 3 февраля);;;;64,05;;;;;;
5 неделя (на 10 февраля);;;;64,36;;;;;;
6 неделя (на 17 февраля);;;;64,57;;;;;;
7 неделя (на 24 февраля);;;;64,76;;;;;;
8 неделя (на 3 марта);;;;64,92;;;;;;
9 неделя (на 11 марта);;;;65,29;;;;;;
10 неделя (на 17 марта);;;;65,61;;;;;;
11 неделя (на 24 марта);;;;65,89;;;;;;
12 неделя (на 31 марта);;;;66,13;;;;;;
13 неделя (на 7 апреля);;;;66,38;;;;;;
14 неделя (на 14 апреля);;;;66,64;;;;;;
15 неделя (на 21 апреля);;;;66,79;;;;;;
16 неделя (на 28 апреля);;;;66,7;;;;;;
17 неделя (на 5 мая);;;;66,79;;;;;;
18 неделя (на 12 мая);;;;67,13;;;;;;
19 неделя (на 19 мая);;;;67,49;;;;;;
20 неделя (на 26 мая);;;;67,64;;;;;;
21 неделя (на 2 июня);;;;67,74;;;;;;
22 неделя (на 9 июня);;;;67,69;;;;;;
23 неделя (на 16 июня);;;;67,64;;;;;;
24 неделя (на 23 июня);;;;67,74;;;;;;
25 неделя (на 30 июня);;;;68,04;;;;;;
26 неделя (на 7 июля);;;;68,05;;;;;;
27 неделя (на 14 июля);;;;68,15;;;;;;
28 неделя (на 21 июля);;;;68,29;;;;;;
29 неделя (на 28 июля);;;;68,24;;;;;;
30 неделя (на 4 августа);;;;68,16;;;;;;
31 неделя (на 11 августа);;;;67,94;;;;;;
32 неделя (на 18 августа);;;;68,06;;;;;;
33 неделя (на 25 августа);;;;68,42;;;;;;
34 неделя (на 1 сентября);;;;68,56;;;;;;
35 неделя (на 8 сентября);;;;68,67;;;;;;
36 неделя (на 15 сентября);;;;68,36;;;;;;
37 неделя (на 22 сентября);;;;67,97;;;;;;
38 неделя (на 29 сентября);;;;67,63;;;;;;
39 неделя (на 6 октября);;;;67,13;;;;;;
40 неделя (на 13 октября);;;;66,94;;;;;;
41 неделя (на 20 октября);;;;67,06;;;;;;
42 неделя (на 27 октября);;;;67,09;;;;;;
43 неделя (на 5 ноября);;;;67,49;;;;;;
44 неделя (на 10 ноября);;;;67,81;;;;;;
45 неделя (на 17 ноября);;;;68,57;;;;;;
46 неделя (на 24 ноября);;;;69,77;;;;;;
47 неделя (на 1 декабря);;;;70,87;;;;;;
48 неделя (на 8 декабря);;;;71,81;;;;;;
49 неделя (на 15 декабря);;;;73,35;;;;;;
50 неделя (на 22 декабря);;;;76,71;;;;;;
51 неделя (на 29 декабря);;;;80,79;;;;;;
1 неделя (на 12 января 2015 года);;;;;84,09;;;;;
2 неделя (на 19 января 2015 года);;;;;86,4;;;;;
3 неделя (на 26 января 2015 года);;;;;88,92;;;;;
4 неделя (на 2 февраля 2015 года);;;;;89,72;;;;;
5 неделя (на 9 февраля 2015 года);;;;;90,79;;;;;
6 неделя (на 16 февраля 2015 года);;;;;91,18;;;;;
7 неделя (на 24 февраля 2015 года);;;;;91,93;;;;;
8 неделя (на 2 марта 2015 года);;;;;92,2;;;;;
9 неделя (на 10 марта 2015 года);;;;;92,12;;;;;
10  неделя (на 16 марта 2015 года);;;;;92,11;;;;;
11 неделя (на 23 марта 2015 года);;;;;91,58;;;;;
12 неделя (на 30 марта 2015 года);;;;;91,08;;;;;
13 неделя (на 6 апреля 2015 года);;;;;90,69;;;;;
14 неделя (на 13 апреля 2015 года);;;;;90,02;;;;;
15 неделя (на 20 апреля 2015 года);;;;;89,72;;;;;
16 неделя (на 27 апреля 2015 года);;;;;89,62;;;;;
17 неделя (на 5 мая 2015 года);;;;;89,85;;;;;
18 неделя (на 12 мая 2015 года);;;;;90,59;;;;;
19 неделя (на 18 мая 2015 года);;;;;91,86;;;;;
20 неделя (на 25 мая 2015 года);;;;;93,03;;;;;
21 неделя (на 1 июня 2015 года);;;;;93,1;;;;;
22 неделя (на 8 июня 2015 года);;;;;92,92;;;;;
23 неделя (на 15 июня 2015 года);;;;;93,03;;;;;
24 неделя (на 22 июня 2015 года);;;;;93,07;;;;;
25 неделя (на 29 июня 2015 года);;;;;93,07;;;;;
26 неделя (на 6 июля 2015 года);;;;;93,7;;;;;
27 неделя (на 13 июля 2015 года);;;;;94,26;;;;;
28 неделя (на 20 июля 2015 года);;;;;94,53;;;;;
29 неделя (на 27 июля 2015 года);;;;;94,8;;;;;
30 неделя (на 3 августа 2015 года);;;;;94,56;;;;;
31 неделя (на 10 августа 2015 года);;;;;94,41;;;;;
32 неделя (на 17 августа 2015 года);;;;;93,95;;;;;
33 неделя (на 24 августа 2015 года);;;;;93,9;;;;;
34 неделя (на 31 августа 2015 года);;;;;93,56;;;;;
35 неделя (на 7 сентября 2015 года);;;;;93,1;;;;;
36 неделя (на 14 сентября 2015 года);;;;;92,12;;;;;
37 неделя (на 21 сентября 2015 года);;;;;91,28;;;;;
38 неделя (на 28 сентября 2015 год);;;;;90,31;;;;;
39 неделя (на 5 октября 2015 года);;;;;89,4;;;;;
40 неделя (на 12 октября 2015 года);;;;;88,3;;;;;
41 неделя (на 19 октября 2015 года);;;;;87,38;;;;;
42 неделя (на 26 октября 2015 года);;;;;87,19;;;;;
43 неделя (на 2 ноября 2015 года);;;;;86,63;;;;;
44 неделя (на 9 ноября 2015 года);;;;;86,26;;;;;
45 неделя (на 16 ноября 2015 года);;;;;85,96;;;;;
46 неделя (на 23 ноября 2015 года);;;;;85,74;;;;;
47 неделя (на 30 ноября 2015 года);;;;;85,53;;;;;
48 неделя (на 7 декабря 2015 года);;;;;85,75;;;;;
49 неделя (на 14 декабря 2015 года);;;;;86,31;;;;;
50 неделя (на 21 декабря 2015 года);;;;;87,07;;;;;
51 неделя (на 28 декабря 2015 года);;;;;88,17;;;;;
1 неделя (на 11 января 2016 года);;;;;;89,9;;;;
2 неделя (на 18 января 2016 года);;;;;;91,08;;;;
3 неделя (на 25 января 2016 года);;;;;;92,23;;;;
4 неделя (на 1 февраля 2016 года);;;;;;93,16;;;;
5 неделя (на 8 февраля 2016 года);;;;;;94,66;;;;
6 неделя (на 15 февраля 2016 года);;;;;;95,76;;;;
7 неделя (на 20 февраля 2016 года);;;;;;96,77;;;;
8 неделя (на 29 февраля 2016 года);;;;;;97,27;;;;
9 неделя (на 9 марта 2016 года);;;;;;97,98;;;;
10  неделя (на 14 марта 2016 года);;;;;;98,45;;;;
11 неделя (на 21 марта 2016 года);;;;;;98,64;;;;
12 неделя (на 28 марта 2016 года);;;;;;98,4;;;;
13 неделя (на 4 апреля 2016 года);;;;;;98,39;;;;
14 неделя (на 11 апреля 2016 года);;;;;;98,17;;;;
15 неделя (на 18 апреля 2016 года);;;;;;98,74;;;;
16 неделя (на 25 апреля 2016 года);;;;;;99,44;;;;
17 неделя (на 4 мая 2016 года);;;;;;99,91;;;;
18 неделя (на 10 мая 2016 года);;;;;;100,34;;;;
19 неделя (на 16 мая 2016 года);;;;;;100,42;;;;
20 неделя (на 23 мая 2016 года);;;;;;100,74;;;;
